id,category_l,category_s,length,fit
209,상의,청바지,니렝스,스키니
210,상의,청바지,니렝스,노멀
211,상의,청바지,니렝스,와이드
212,상의,청바지,니렝스,루즈
213,상의,청바지,니렝스,벨보텀
214,상의,청바지,미디,
215,상의,청바지,미디,스키니
216,상의,청바지,미디,노멀
217,상의,청바지,미디,와이드
218,상의,청바지,미디,루즈
219,상의,청바지,미디,벨보텀
220,상의,청바지,발목,
221,상의,청바지,발목,스키니
222,상의,청바지,발목,노멀
223,상의,청바지,발목,와이드
224,상의,청바지,발목,루즈
225,상의,청바지,발목,벨보텀
226,상의,청바지,맥시,
227,상의,청바지,맥시,스키니
228,상의,청바지,맥시,노멀
229,상의,청바지,맥시,와이드
230,상의,청바지,맥시,루즈
231,상의,청바지,맥시,벨보텀
232,상의,팬츠,,
233,상의,팬츠,,스키니
234,상의,팬츠,,노멀
235,상의,팬츠,,와이드
236,상의,팬츠,,루즈
237,상의,팬츠,,벨보텀
238,상의,팬츠,미니,
